"","district","sc","parish","village","messenger","recipient","IVR","sms","head_name","tel_contact"
"25","MAYUGE","KITYERERA","BUBINGE","BULIDHA","male","male","yes","yes",NA,NA
"26","NAMUTUMBA","MAGADA","KAGULU","NAKAWA","male","male","yes","no",NA,NA
"27","MAYUGE","BAITAMBOGWE","IGEYERO","IGEYERO B","male","male","no","no",NA,NA
"28","NAMAYINGO","BUYINJA","LWANGOSIA","SIBONDWE","male","male","no","no",NA,NA
"29","IGANGA","BULAMAGI","IWAWU","NAWANKOFU","male","male","no","no",NA,NA
"30","NAMUTUMBA","KIBAALE","NABWEYO","NABUGUZI","male","male","no","no",NA,NA
"31","NAMUTUMBA","NAMUTUMBA","NAKYEERE","KASEDHERE A","male","male","no","no",NA,NA
"32","IGANGA","BUYANGA","BUWOOYA","BUDHUBYE","male","male","yes","yes",NA,NA
"33","IGANGA","BUYANGA","BUWOOYA","BUYANGA B","male","male","yes","yes",NA,NA
"34","IGANGA","BULAMAGI","IWAWU","KYEMEIRE","male","male","no","no",NA,NA
"35","BUGIRI","IWEMBA","IWEMBA","BULYAMBOLI","male","male","yes","yes",NA,NA
"36","NAMUTUMBA","KIBAALE","NABISOIGI","NAKYERE II","male","male","yes","no",NA,NA
"37","NAMAYINGO","BUYINJA","LWANGOSIA","BULOHA","male","male","yes","yes",NA,NA
"38","NAMUTUMBA","IVUKULA","MPANDE (KISEWUZI)","MPANDE","male","male","yes","yes",NA,NA
"39","IGANGA","MAKUUTU","KASOZI","BUSIMO","male","male","yes","yes",NA,NA
"40","NAMUTUMBA","KIBAALE","NAWANGISA","BUDWAPA B","male","male","yes","no",NA,NA
"41","NAMUTUMBA","NSINZE","BUWONGO","BUWONGO B","male","male","no","no",NA,NA
"42","IGANGA","MAKUUTU","KASOZI","BUNAKATE","male","male","yes","no",NA,NA
"43","MAYUGE","KIGANDALO","KIGULU","NAMUGOLO","male","male","yes","no",NA,NA
"44","MAYUGE","IMANYIRO","MAGADA","WANTE","male","male","no","no",NA,NA
"45","NAMUTUMBA","MAGADA","KAGULU","NAWAMBIRI","male","male","no","no",NA,NA
"46","MAYUGE","IMANYIRO","MAGADA","WALUGOGO","male","male","yes","yes",NA,NA
"47","MAYUGE","BUKATUBE","BUYEMBA","WALUKUBA","male","male","yes","yes",NA,NA
"48","IGANGA","MAKUUTU","MAKUUTU","BUSWIRIRI","male","male","no","no",NA,NA
"49","NAMAYINGO","BANDA","LUGALA","BUDALA A","male","male","yes","no",NA,NA
"50","BUGIRI","BULUGUYI","MUWAYO","BUDUMA 'A'","male","male","no","no",NA,NA
"51","MAYUGE","KIGANDALO","KIGULU","NSUMBA","male","male","yes","no",NA,NA
"52","NAMUTUMBA","KIBAALE","NAWANGISA","NAWANGISA IB","male","male","no","no",NA,NA
"53","NAMUTUMBA","MAGADA","KAGULU","IZIMBA","male","male","yes","yes",NA,NA
"54","NAMAYINGO","BUSWALE","NANSUMA","MASODI B","male","male","yes","yes",NA,NA
"55","NAMUTUMBA","KIBAALE","NABISOIGI","NAWANDYO B","male","male","no","no",NA,NA
"56","MAYUGE","BUKABOOLI","BUKABOOLI","KIKUNYU","male","male","yes","no",NA,NA
"57","NAMUTUMBA","IVUKULA","MPANDE (KISEWUZI)","BUKALAMAISO","male","male","no","no",NA,NA
"58","BUGIRI","BUWUNGA","BUBUGO","NAMBOFA","male","male","yes","yes",NA,NA
"59","IGANGA","NAKIGO","WAIRAMA","IZIMBA","male","male","yes","yes",NA,NA
"60","MAYUGE","KIGANDALO","KIOGA (MAYENGO)","NABIKOMO","male","male","no","no",NA,NA
"61","BUGIRI","KAPYANGA","BUGUBO","BUKONDE A","male","male","yes","no",NA,NA
"62","NAMUTUMBA","MAGADA","KAGULU","NABWEYO","male","male","yes","no",NA,NA
"63","BUGIRI","KAPYANGA","BUGUBO","BUSANZI","male","male","no","no",NA,NA
"64","MAYUGE","BUKATUBE","BUYEMBA","MUGERI A","male","male","yes","no",NA,NA
"65","NAMUTUMBA","KIBAALE","NABISOIGI","NAWAIKOKE A","male","male","yes","yes",NA,NA
"66","NAMUTUMBA","KIBAALE","NAWANGISA","BUDWAPA A","male","male","yes","yes",NA,NA
"67","NAMAYINGO","MUTUMBA","LUBIRA","LUFUDU","male","male","no","no",NA,NA
"68","NAMUTUMBA","NAMUTUMBA","ITUBA","ITUBA C","male","male","yes","no",NA,NA
"69","BUGIRI","BULUGUYI","MUWAYO","MUWAYO","male","male","no","no",NA,NA
"70","NAMAYINGO","BUYINJA","LWANGOSIA","LWANGOSIA EAST","male","male","yes","yes",NA,NA
"71","NAMAYINGO","BANDA","BUJWANGA","BUJWANGA EAST","male","male","yes","yes",NA,NA
"72","IGANGA","MAKUUTU","KASOZI","BUKONDE","male","male","no","no",NA,NA
"73","MAYUGE","KITYERERA","NDAIGA","BUBALULE A","male","male","yes","no",NA,NA
"74","NAMUTUMBA","NSINZE","BUWONGO","BUYUNGA","male","male","yes","yes",NA,NA
"75","MAYUGE","BUKATUBE","BUYEMBA","BUYEMBA 'A'","male","male","yes","yes",NA,NA
"76","NAMUTUMBA","KIBAALE","NABISOIGI","BUGANDA","male","male","no","no",NA,NA
"77","IGANGA","NAKALAMA","NAKALAMA","BUKOBOOLI","male","male","no","no",NA,NA
"78","BUGIRI","BUDHAYA","BUDHAYA","BUDHAYA","male","male","no","no",NA,NA
"79","MAYUGE","BAITAMBOGWE","LUKONE","NAMAGERA","male","male","yes","no",NA,NA
"80","IGANGA","BUYANGA","BUWOOYA","BUWOOYA B","male","male","no","no",NA,NA
"81","MAYUGE","KIGANDALO","KIGULU","NAMASAKA","male","male","yes","yes",NA,NA
"82","MAYUGE","BUKATUBE","BUYEMBA","BUKASERO A","male","male","no","no",NA,NA
"83","MAYUGE","KIGANDALO","KIGULU","BUBBALYA","male","male","no","no",NA,NA
"84","NAMUTUMBA","IVUKULA","MPANDE (KISEWUZI)","NAMWENDA III","male","male","yes","no",NA,NA
"85","MAYUGE","BUKATUBE","LWANIKA","LUKINDU A","male","male","yes","yes",NA,NA
"86","MAYUGE","BUKABOOLI","BUKABOOLI","KALAGALA A","male","male","yes","no",NA,NA
"87","NAMUTUMBA","NSINZE","BUWONGO","SIIRA","male","male","yes","yes",NA,NA
"88","NAMUTUMBA","KIBAALE","NABWEYO","NABWEYO CENTRAL","male","male","yes","yes",NA,NA
"89","MAYUGE","IMANYIRO","MAGADA","LUYIRA","male","male","yes","yes",NA,NA
"90","NAMAYINGO","BANDA","BUJWANGA","BUJWANGA WEST","male","male","yes","no",NA,NA
"91","MAYUGE","KIGANDALO","KIGULU","KIREWE","male","male","no","no",NA,NA
"92","IGANGA","NAKALAMA","NAKALAMA","NAKALAMA NORTH","male","male","yes","yes",NA,NA
"93","NAMAYINGO","MUTUMBA","LUBIRA","BUGALI A","male","male","no","no",NA,NA
"94","IGANGA","NAWANDALA","KIWANYI","KIWANYI I","male","male","yes","no",NA,NA
"95","NAMUTUMBA","MAGADA","KAGULU","LUZINGA","male","male","yes","no",NA,NA
"96","NAMUTUMBA","KIBAALE","NABISOIGI","BWANGU","male","male","yes","no",NA,NA
"97","NAMAYINGO","BANDA","LUTOLO","BUCHUNIA A","male","male","yes","no",NA,NA
"98","MAYUGE","BUKATUBE","LWANIKA","LUKINDU B","male","male","yes","yes",NA,NA
"99","NAMUTUMBA","NAMUTUMBA","ITUBA","NAMUWONDO A","male","male","no","no",NA,NA
"100","MAYUGE","BAITAMBOGWE","LUKONE","LUKONE","male","male","yes","no",NA,NA
"101","NAMAYINGO","BANDA","BUJWANGA","HALABA","male","male","no","no",NA,NA
"102","MAYUGE","KITYERERA","BUBINGE","KIKANDWA","male","male","yes","yes",NA,NA
"103","BUGIRI","BULUGUYI","MUWAYO","BUDUMA 'B'","male","male","yes","yes",NA,NA
"104","IGANGA","NAKALAMA","NAKALAMA","BUKYAYE","male","male","yes","yes",NA,NA
"105","MAYUGE","KITYERERA","NDAIGA","NDAIGA C","male","male","no","no",NA,NA
"106","NAMAYINGO","MUTUMBA","LUBIRA","BUSIULA","male","male","no","no",NA,NA
"107","NAMUTUMBA","NSINZE","NAWAIKONA","NABITULUNTU","male","male","yes","no",NA,NA
"108","NAMUTUMBA","NAMUTUMBA","NAKYEERE","NAKYERE","male","male","yes","yes",NA,NA
"109","NAMAYINGO","BUSWALE","NANSUMA","MASODI A","male","male","yes","yes",NA,NA
"110","NAMUTUMBA","KIBAALE","NABISOIGI","BUYINDA","male","male","no","no",NA,NA
"111","NAMAYINGO","BANDA","BUJWANGA","NAMBANO","male","male","no","no",NA,NA
"112","MAYUGE","BAITAMBOGWE","IGEYERO","MUKUTA","male","male","yes","yes",NA,NA
"113","MAYUGE","KITYERERA","BUBINGE","BUBINGE","male","male","yes","no",NA,NA
"114","BUGIRI","BULUGUYI","MUWAYO","MUDAWO","male","male","no","no",NA,NA
"115","BUGIRI","NABUKALU","NKAIZA","KAKOGE","male","male","no","no",NA,NA
"116","MAYUGE","BUKATUBE","LWANIKA","BUKATUBE B","male","male","yes","no",NA,NA
"117","IGANGA","NAWANDALA","KIWANYI","MADHIMASU","male","male","no","no",NA,NA
"118","NAMUTUMBA","NAMUTUMBA","NAKYEERE","KASEDHERE B","male","male","yes","yes",NA,NA
"119","BUGIRI","IWEMBA","IWEMBA","BUKIRI","male","male","no","no",NA,NA
"120","MAYUGE","BUKATUBE","LWANIKA","BUDHALA 'A'","male","male","yes","yes",NA,NA
"121","IGANGA","BULAMAGI","IWAWU","IWAWU","male","male","yes","yes",NA,NA
"122","MAYUGE","KIGANDALO","KIOGA (MAYENGO)","NAKAVULE","male","male","no","no",NA,NA
"123","BUGIRI","BUWUNGA","BUBUGO","BUBUGO/BULIWAGULU","male","male","yes","yes",NA,NA
"124","NAMUTUMBA","MAGADA","KIWANYI","KATENGELERE","male","male","yes","no",NA,NA
"125","MAYUGE","KIGANDALO","KIOGA (MAYENGO)","KIOGA","male","male","yes","yes",NA,NA
"126","NAMUTUMBA","NAMUTUMBA","ITUBA","NAMUWONDO B","male","male","yes","no",NA,NA
"127","MAYUGE","BAITAMBOGWE","LUKONE","NSINDA","male","male","yes","no",NA,NA
"128","NAMUTUMBA","KIBAALE","NABWEYO","BUGAIZA","male","male","yes","yes",NA,NA
"129","MAYUGE","BUKABOOLI","BUKABOOLI","KALAGALA B","male","male","yes","yes",NA,NA
"130","NAMUTUMBA","KIBAALE","NABISOIGI","NAWANDYO A","male","male","no","no",NA,NA
"131","BUGIRI","IWEMBA","IWEMBA","BUKANDA","male","male","no","no",NA,NA
"132","NAMUTUMBA","NAMUTUMBA","ITUBA","ITUBA A","male","male","no","no",NA,NA
"133","IGANGA","NAKIGO","BUSOWOOBI","BUSOWOOBI CENTRAL","male","male","yes","yes",NA,NA
"134","NAMUTUMBA","KIBAALE","NAWANGISA","BUNYINKIRA","male","male","no","no",NA,NA
"135","MAYUGE","KIGANDALO","KIGULU","KIGULU","male","male","yes","yes",NA,NA
"136","BUGIRI","BUDHAYA","BUDHAYA","BUKEREKERE","male","male","yes","no",NA,NA
"137","MAYUGE","WAIRASA","BUSUYI","BUSUYI","male","male","yes","no",NA,NA
"138","IGANGA","NAMALEMBA","MINANI","NAKAMINI","male","male","no","no",NA,NA
"139","IGANGA","NAMALEMBA","MINANI","MINANI A","male","male","yes","yes",NA,NA
"140","NAMUTUMBA","NSINZE","BUWONGO","MALIGA TRADING CENTRE","male","male","yes","yes",NA,NA
"141","MAYUGE","KITYERERA","NDAIGA","NAKIRIMIRA B","male","male","yes","yes",NA,NA
"142","BUGIRI","BULESA","BULUWE","BULUWE","male","male","yes","no",NA,NA
"143","BUGIRI","BULESA","BULUWE","BUTEGWA A","male","male","yes","no",NA,NA
"144","MAYUGE","BUKATUBE","LWANIKA","BUDHALA 'B'","male","male","no","no",NA,NA
"145","IGANGA","BUYANGA","BULUNGULI","KIWANYI A","male","male","yes","no",NA,NA
"146","NAMUTUMBA","NSINZE","BUWONGO","BUKOLO","male","male","yes","no",NA,NA
"147","NAMUTUMBA","NSINZE","NAWAIKONA","BUBINGA","male","male","yes","no",NA,NA
"148","NAMUTUMBA","KIBAALE","NABWEYO","MBOGO","male","male","yes","yes",NA,NA
"149","BUGIRI","KAPYANGA","NAMUKONGE","BUGODO A","male","male","yes","yes",NA,NA
"150","NAMAYINGO","BANDA","LUGALA","BUDALA B","male","male","yes","no",NA,NA
"151","NAMUTUMBA","KIBAALE","NABISOIGI","NKWANZI","male","male","no","no",NA,NA
"152","NAMUTUMBA","NSINZE","NAWAIKONA","KIVULE","male","male","no","no",NA,NA
"153","BUGIRI","KAPYANGA","NDIFAKULYA","MUGONA NORTH","male","male","yes","no",NA,NA
"154","NAMUTUMBA","KIBAALE","NABISOIGI","NABISOIGI II","male","male","no","no",NA,NA
"155","NAMUTUMBA","KIBAALE","NAWANGISA","KAKOGE","male","male","yes","yes",NA,NA
"156","IGANGA","MAKUUTU","KASOZI","KASOZI A","male","male","no","no",NA,NA
"157","IGANGA","IBULANKU","NSAALE","NAKIBEMBE","male","male","yes","yes",NA,NA
"158","BUGIRI","KAPYANGA","BUGUBO","KAKANDWA","male","male","no","no",NA,NA
"159","NAMAYINGO","BANDA","LUTOLO","SIROWA","male","male","yes","yes",NA,NA
"160","IGANGA","NAKIGO","BUSOWOOBI","NABITOVU","male","male","no","no",NA,NA
"161","NAMAYINGO","BANDA","BUJWANGA","BUSIRO BEACH","male","male","yes","yes",NA,NA
"162","BUGIRI","BUWUNGA","BUBUGO","BUKEREWE","male","male","no","no",NA,NA
"163","NAMUTUMBA","KIBAALE","NABWEYO","BUNYEKERO","male","male","no","no",NA,NA
"164","MAYUGE","BUKABOOLI","BUKABOOLI","BUKABOOLI","male","male","yes","no",NA,NA
"165","BUGIRI","BUDHAYA","BUKATU","MAZIRIGA","male","male","yes","no",NA,NA
"166","IGANGA","NAKIGO","WAIRAMA","KAKOMBO","male","male","yes","yes",NA,NA
"167","BUGIRI","KAPYANGA","NAMUKONGE","KAYANGO C","male","male","yes","no",NA,NA
"168","NAMUTUMBA","NSINZE","BUWONGO","BUWONGO A","male","male","yes","yes",NA,NA
"169","IGANGA","NAMALEMBA","MINANI","BUKAKAIRE","male","male","yes","no",NA,NA
"170","IGANGA","MAKUUTU","KASOZI","NAMAVUNDU","male","male","yes","no",NA,NA
"171","IGANGA","MAKUUTU","KASOZI","KASOZI B","male","male","yes","no",NA,NA
"172","IGANGA","MAKUUTU","KASOZI","BUKOWE","male","male","yes","no",NA,NA
"173","BUGIRI","KAPYANGA","NAMUKONGE","BUGODO B","male","male","no","no",NA,NA
"174","MAYUGE","IMANYIRO","MAGADA","MAGADA","male","male","yes","yes",NA,NA
"175","NAMAYINGO","BANDA","LUTOLO","BUKOONA","male","male","yes","yes",NA,NA
"176","MAYUGE","BUKABOOLI","BUKABOOLI","NAMULWANA 'A'","male","male","yes","no",NA,NA
"177","BUGIRI","BUDHAYA","BUDHAYA","NGULUMO","male","male","yes","yes",NA,NA
"178","NAMUTUMBA","NSINZE","NAWAIKONA","BUKUDUMIRA","male","male","yes","yes",NA,NA
"179","BUGIRI","KAPYANGA","BUGUBO","BUGUBO","male","male","no","no",NA,NA
"180","IGANGA","NAKALAMA","NAKALAMA","NAKALAMA SOUTH","male","male","no","no",NA,NA
"181","MAYUGE","KITYERERA","NDAIGA","NDAIGA A","male","male","no","no",NA,NA
"182","BUGIRI","BUDHAYA","BUKATU","BUDIBYA","male","male","no","no",NA,NA
"183","NAMAYINGO","BANDA","LUGALA","LUGALA B","male","male","yes","no",NA,NA
"184","NAMUTUMBA","IVUKULA","MPANDE (KISEWUZI)","BUDUMBA","male","male","yes","yes",NA,NA
"185","MAYUGE","BUKATUBE","LWANIKA","LWANIKA B","male","male","no","no",NA,NA
"186","MAYUGE","KIGANDALO","KIOGA (MAYENGO)","LUKUNYU","male","male","yes","yes",NA,NA
"187","NAMAYINGO","BUYINJA","LWANGOSIA","BUGAYA","male","male","yes","no",NA,NA
"188","BUGIRI","BUDHAYA","BUKATU","KAWOLOGOMA","male","male","no","no",NA,NA
"189","MAYUGE","IMANYIRO","MAGADA","NAMAKAKALE","male","male","yes","yes",NA,NA
"190","NAMUTUMBA","KIBAALE","NABWEYO","LWAMBA","male","male","no","no",NA,NA
"191","MAYUGE","KIGANDALO","KIOGA (MAYENGO)","KAZINGA","male","male","yes","yes",NA,NA
"192","NAMAYINGO","BUYINJA","LWANGOSIA","NSANGO A","male","male","no","no",NA,NA
"193","NAMAYINGO","BANDA","LUTOLO","NANGERA A","male","male","yes","no",NA,NA
"194","MAYUGE","BAITAMBOGWE","IGEYERO","IGEYERO A","male","male","yes","no",NA,NA
"195","BUGIRI","KAPYANGA","BUGUBO","NABYUNYU","male","male","yes","no",NA,NA
"196","NAMAYINGO","BUYINJA","LWANGOSIA","LWANGOSIA WEST","male","male","yes","yes",NA,NA
"197","BUGIRI","BULUGUYI","MUWAYO","BUTEMA","male","male","no","no",NA,NA
"198","MAYUGE","BUKATUBE","LWANIKA","LWANIKA A","male","male","yes","yes",NA,NA
"199","NAMUTUMBA","KIBAALE","NABWEYO","BUSINI A","male","male","yes","yes",NA,NA
"200","NAMUTUMBA","KIBAALE","NABWEYO","NANVUNANWA","male","male","yes","no",NA,NA
"201","MAYUGE","BUSAKIRA","MAUMU","MAUMU B","male","male","no","no",NA,NA
"202","IGANGA","BUYANGA","BUWOOYA","BUYANGA A","male","male","yes","yes",NA,NA
"203","IGANGA","NAWANDALA","KIWANYI","BUKYEEGA","male","male","yes","yes",NA,NA
"204","NAMUTUMBA","MAGADA","KIWANYI","KIWANYI","male","male","yes","no",NA,NA
"205","NAMAYINGO","BANDA","BUJWANGA","BUDUNGA WEST","male","male","yes","no",NA,NA
"206","NAMUTUMBA","KIBAALE","NAWANGISA","KAVULE","male","male","yes","yes",NA,NA
"207","NAMUTUMBA","MAGADA","KAGULU","BUGIRI","male","male","no","no",NA,NA
"208","NAMUTUMBA","NAMUTUMBA","NAKYEERE","BULYABWITA B","male","male","no","no",NA,NA
"209","MAYUGE","BUKATUBE","LWANIKA","WAMONDO","male","male","yes","yes",NA,NA
"210","MAYUGE","WAIRASA","BUSUYI","BUSOWANIRE","male","male","yes","no",NA,NA
"211","NAMAYINGO","BANDA","LUTOLO","LUTOLO B","male","male","yes","yes",NA,NA
"212","MAYUGE","KIGANDALO","KIGULU","BUYAGA","male","male","yes","yes",NA,NA
"213","NAMAYINGO","BANDA","BUJWANGA","BUBANGI","male","male","yes","no",NA,NA
"214","NAMUTUMBA","KIBAALE","NAWANGISA","NAWANGISA II","male","male","yes","yes",NA,NA
"215","IGANGA","IBULANKU","NSAALE","NAKASUBI","male","male","no","no",NA,NA
"216","NAMUTUMBA","MAGADA","KAGULU","NABIGALATA","male","male","yes","yes",NA,NA
"217","NAMUTUMBA","MAGADA","KIWANYI","NABIYUNGI","male","male","yes","yes",NA,NA
"218","NAMUTUMBA","MAGADA","KAGULU","KISYAIKE","male","male","yes","no",NA,NA
"219","BUGIRI","KAPYANGA","NAMUKONGE","BUKAYE B","male","male","no","no",NA,NA
"220","IGANGA","MAKUUTU","KASOZI","NONDWE","male","male","yes","no",NA,NA
"221","IGANGA","BULAMAGI","IWAWU","NAMASOGA","male","male","yes","yes",NA,NA
"222","IGANGA","MAKUUTU","KASOZI","WAIBALE","male","male","yes","no",NA,NA
"223","NAMUTUMBA","KIBAALE","NAWANGISA","NAWANGISA I","male","male","yes","no",NA,NA
"224","NAMUTUMBA","IVUKULA","MPANDE (KISEWUZI)","MAKUUTU","male","male","yes","yes",NA,NA
"225","NAMUTUMBA","NSINZE","NAWAIKONA","WALUMBO","male","male","yes","no",NA,NA
"226","BUGIRI","BUDHAYA","BUDHAYA","BUMWANGU","male","male","yes","no",NA,NA
"227","IGANGA","BUYANGA","BUWOOYA","BUWOOYA A","male","male","no","no",NA,NA
"228","MAYUGE","WAIRASA","BUSUYI","BUYEMBA","male","male","no","no",NA,NA
"229","NAMAYINGO","BUSWALE","NANSUMA","NANSUMA A","male","male","yes","yes",NA,NA
"230","NAMAYINGO","BUSWALE","NANSUMA","SIJAGAJO A","male","male","no","no",NA,NA
"231","NAMUTUMBA","NSINZE","BUWONGO","BUNYAGWE","male","male","yes","yes",NA,NA
"232","NAMAYINGO","BUSWALE","NANSUMA","NANSUMA B","male","male","no","no",NA,NA
"233","IGANGA","BUYANGA","BULUNGULI","KIWANYI B","male","male","yes","no",NA,NA
"234","IGANGA","NAMALEMBA","MINANI","MINANI B","male","male","yes","no",NA,NA
"235","IGANGA","NAKALAMA","NAKALAMA","NAKALAMA CENTRAL","male","male","yes","no",NA,NA
"236","IGANGA","BUYANGA","BUWOOYA","NASILARO","male","male","yes","no",NA,NA
"237","BUGIRI","KAPYANGA","NDIFAKULYA","BUKAYE","male","male","yes","no",NA,NA
"238","MAYUGE","BUKATUBE","LWANIKA","BUTIMBWA","male","male","yes","no",NA,NA
"239","MAYUGE","IMANYIRO","MAGADA","NAMADUDU","male","male","no","no",NA,NA
"240","BUGIRI","BULUGUYI","MUWAYO","NAKAWA","male","male","yes","no",NA,NA
"241","NAMAYINGO","BUSWALE","NANSUMA","BUMOLI A","male","male","no","no",NA,NA
"242","IGANGA","BUYANGA","BUWOOYA","BUYIRIMA","male","male","yes","yes",NA,NA
"243","NAMUTUMBA","KIBAALE","NABWEYO","BUDATU","male","male","yes","no",NA,NA
"244","MAYUGE","BUKABOOLI","BUKABOOLI","NAMULWANA 'B'","male","male","no","no",NA,NA
"245","IGANGA","NAMALEMBA","MINANI","NABITENDE","male","male","yes","yes",NA,NA
"246","NAMUTUMBA","MAGADA","KIWANYI","NAWANSEKESE","male","male","no","no",NA,NA
"247","IGANGA","MAKUUTU","MAKUUTU","BUNALWENYI A","male","male","yes","no",NA,NA
"248","BUGIRI","BULESA","BULUWE","MALENDELE","male","male","no","no",NA,NA
"249","NAMAYINGO","BANDA","BUJWANGA","BUDUNGA EAST","male","male","no","no",NA,NA
"250","IGANGA","BUYANGA","BUWOOYA","BUYANGA C","male","male","no","no",NA,NA
"251","MAYUGE","BUKATUBE","LWANIKA","KASONZI","male","male","yes","yes",NA,NA
"252","NAMUTUMBA","NSINZE","NAWAIKONA","BUKEBWE","male","male","no","no",NA,NA
"253","NAMUTUMBA","NAMUTUMBA","ITUBA","NAWAMPANDU B","male","male","yes","yes",NA,NA
"254","NAMAYINGO","BANDA","LUTOLO","NANGERA B","male","male","yes","no",NA,NA
"255","NAMUTUMBA","NSINZE","NAWAIKONA","NABIKENGE","male","male","yes","yes",NA,NA
"256","NAMUTUMBA","MAGADA","KAGULU","KAWANAMO","male","male","yes","no",NA,NA
"257","NAMUTUMBA","NSINZE","NAWAIKONA","NAWAIKONA ''B'","male","male","yes","yes",NA,NA
"258","NAMUTUMBA","KIBAALE","NAWANGISA","KIRANGA A","male","female","yes","no",NA,NA
"259","BUGIRI","KAPYANGA","NDIFAKULYA","MUGONA SOUTH","male","female","no","no",NA,NA
"260","BUGIRI","BUWUNGA","BUBUGO","KIRONGO","male","female","yes","yes",NA,NA
"261","NAMUTUMBA","IVUKULA","MPANDE (KISEWUZI)","NAKAZINGA","male","female","no","no",NA,NA
"262","NAMAYINGO","MUTUMBA","LUBIRA","SIMASE","male","female","no","no",NA,NA
"263","NAMUTUMBA","IVUKULA","MPANDE (KISEWUZI)","KISEWUZI","male","female","yes","yes",NA,NA
"264","IGANGA","MAKUUTU","MAKUUTU","BUNALWENYI B","male","female","yes","yes",NA,NA
"265","NAMAYINGO","BUSWALE","NANSUMA","BUHWANJA","male","female","yes","yes",NA,NA
"266","BUGIRI","BUDHAYA","BUDHAYA","KIWANDANGABO","male","female","yes","yes",NA,NA
"267","NAMUTUMBA","KIBAALE","NABISOIGI","NAWAIKOKE B","male","female","yes","yes",NA,NA
"268","BUGIRI","BUDHAYA","BUKATU","BUBANGO","male","female","yes","yes",NA,NA
"269","NAMUTUMBA","NSINZE","BUWONGO","CENTRAL BUNYAGWE","male","female","no","no",NA,NA
"270","NAMUTUMBA","IVUKULA","MPANDE (KISEWUZI)","NAMWENDA II","male","female","no","no",NA,NA
"271","NAMUTUMBA","NSINZE","BUWONGO","MALIGA","male","female","no","no",NA,NA
"272","NAMUTUMBA","NSINZE","NAWAIKONA","BUTAGALA","male","female","yes","no",NA,NA
"273","NAMUTUMBA","NAMUTUMBA","ITUBA","NAWAMPANDU A","male","female","yes","no",NA,NA
"274","IGANGA","BULAMAGI","IWAWU","NTINDA","male","female","yes","no",NA,NA
"275","MAYUGE","KITYERERA","NDAIGA","NAKIRIMIRA C","male","female","yes","yes",NA,NA
"276","NAMUTUMBA","MAGADA","KAGULU","NAMUSAYI","male","female","yes","yes",NA,NA
"277","MAYUGE","BUKATUBE","BUYEMBA","MUGERI B","male","female","no","no",NA,NA
"278","NAMAYINGO","MUTUMBA","LUBIRA","BUGALI B","male","female","yes","yes",NA,NA
"279","NAMAYINGO","BANDA","LUGALA","LUGALA A","male","female","yes","yes",NA,NA
"280","BUGIRI","KAPYANGA","NDIFAKULYA","NDIFAKULYA","male","female","yes","yes",NA,NA
"281","IGANGA","IBULANKU","NSAALE","WANTE","male","female","no","no",NA,NA
