"","hhid","femalehead","enumerator","date","hh_type","grow_maize","hh_yes","recipient","consent","maizeeduc","maizeage","maizehh_no","maizedist_shop","maizearea_cultivation","maizebags_harv","maizepralready_plant","maizeprinfo_receiv","maizeprinfo_receiv_spouse","maizeprinput_use","maizeprwall","maizeprrooms","maizeprearn","maizevideo_shown","maizeoptimal_spacing","maizeq22","maizeq23","maizemobile","maizemobile_access","maizeq26","maizeq27","maizeivr","maizeinside_outside","maizedisturbed","maizeeduc_spouse","maizeage_spouse","vilID","subID","distID"
"54","HH696",0,4,"2017-08-17","Yes","Yes","Yes","couple","Yes",1,63,2,8,0.5,0,"Yes","No","No","Yes",3,1,"No","male","a","a","b","No","No",NA,NA,"no","Outside","No",1,54,5,1,1
"55","HH953",0,9,"2017-08-17","Yes","Yes","No","male","Yes",4,40,7,3,1.5,5,"Yes","No","No","No",3,2,"No","female","a","c","b","Yes",NA,NA,"1","yes","Outside","No",2,30,5,1,1
"56","FH51",1,13,"2017-08-17","Yes","Yes","Yes",NA,"Yes",1,67,7,2,1,3,"Yes","No","No","No",1,3,"No","male","c","c","b","No","No",NA,NA,"yes","Outside","No",NA,NA,6,1,1
"57","HH1075",0,13,"2017-08-17","Yes","Yes","Yes","female","Yes",2,32,8,2,2,1,"Yes","Yes","No","No",3,1,"No","female","c","c","b","Yes",NA,NA,"1","yes","Outside","No",5,35,6,1,1
"58","HH1332",0,13,"2017-08-17","Yes","Yes","Yes","couple","Yes",2,40,9,2,1,1,"Yes","No","No","No",3,2,"No","female","a","c","b","Yes",NA,NA,"1","yes","Outside","No",1,34,6,1,1
"59","HH1589",0,13,"2017-08-17","Yes","Yes","Yes","male","Yes",3,28,6,2,0.5,1,"Yes","No","No","No",3,1,"No","couple","b","c","b","No","No",NA,NA,"yes","Outside","No",3,36,6,1,1
"60","HH1846",0,13,"2017-08-17","Yes","Yes","No","female","Yes",2,21,5,2,3,15,"Yes","No","Yes","No",1,2,"Yes","couple","b","c","b","Yes",NA,NA,"1","yes","Outside","No",2,24,6,1,1
"61","HH2103",0,13,"2017-08-17","Yes","Yes","Yes","couple","Yes",1,38,8,2,2,3,"No","No","No","No",1,2,"No","couple","c","c","b","Yes",NA,NA,"1","no","Outside","No",1,50,6,1,1
"62","HH2360",0,13,"2017-08-17","Yes","Yes","Yes","female","Yes",2,36,7,2,1,5,"Yes","No","No","No",1,2,"No","ctrl","b","c","b","Yes",NA,NA,"1","no","Outside","No",4,46,6,1,1
"63","HH304",0,13,"2017-08-17","Yes","Yes","Yes","female","Yes",1,50,6,2,0.5,1,"Yes","No","No","Yes",1,1,"No","male","c","c","b","Yes",NA,NA,"1","no","Outside","No",2,55,6,1,1
"64","HH47",0,11,"2017-08-17","Yes","Yes","No","male","Yes",4,42,6,6,3,3,"Yes","No","No","Yes",1,2,"Yes","male","a","c","b","Yes",NA,NA,"1","yes","Outside","No",2,999,6,1,1
"65","HH561",0,13,"2017-08-17","Yes","Yes","Yes","couple","Yes",2,21,5,2,0.5,2,"Yes","No","Yes","Yes",3,1,"No","male","c","c","b","No","No",NA,NA,"yes","Outside","No",2,20,6,1,1
"66","HH818",0,14,"2017-08-17","Yes","Yes","Yes","male","Yes",4,45,10,5,2,3,"Yes","No","No","Yes",1,1,"No","female","a","c","b","No","No",NA,NA,"no","Outside","No",4,40,6,1,1
"67","FH61",1,16,"2017-08-17","Yes","Yes","Yes",NA,"Yes",1,52,2,1,1,0.5,"Yes","No","No","No",1,2,"Yes","male","c","b","d","No","No",NA,NA,"yes","Outside","No",NA,NA,7,1,1
"68","HH3354",0,16,"2017-08-17","Yes","Yes","No","male","Yes",4,22,3,0,2,4.5,"No","No","No","No",1,1,"Yes","male","a","c","a","Yes",NA,NA,"1","yes","Outside","No",3,22,7,1,1
"69","HH3381",0,5,"2017-08-17","Yes","Yes","No","female","Yes",2,30,7,2,1,3,"Yes","No","No","Yes",1,2,"No","male","b","c","b","Yes",NA,NA,"1","yes","Inside","No",5,32,7,1,1
"70","HH3408",0,4,"2017-08-17","Yes","Yes","Yes","male","Yes",2,45,5,19,3,4,"No","No","No","Yes",3,1,"No","female","b","c","b","No","Yes","Yes","1","no","Outside","No",1,37,7,1,1
"71","HH3435",0,7,"2017-08-17","Yes","Yes","Yes","female","Yes",4,30,8,3,1,1,"Yes","No","No","No",3,2,"No","female","a","c","b","Yes",NA,NA,"1","yes","Outside","No",3,999,7,1,1
"72","HH3462",0,9,"2017-08-17","Yes","Yes","No","male","Yes",2,58,15,1,4,17,"Yes","No","Yes","Yes",1,3,"Yes","couple","b","c","b","Yes",NA,NA,"1","no","Outside","No",1,35,7,1,1
"73","HH3489",0,9,"2017-08-17","Yes","Yes","No","female","Yes",2,36,7,1,1,4,"No","No","No","No",3,2,"No","couple","b","c","b","No","No",NA,NA,"yes","Outside","No",2,40,7,1,1
"74","HH3516",0,4,"2017-08-17","Yes","Yes","Yes","couple","Yes",4,47,9,19,4,4,"No","Yes","No","Yes",2,3,"Yes","couple","a","c","a","Yes",NA,NA,"1","yes","Outside","Yes",2,39,7,1,1
"75","FH68",1,3,"2017-08-17","Yes","Yes","Yes",NA,"Yes",1,40,8,0,2,1,"Yes","No","No","No",1,3,"No","male","c","c","b","Yes",NA,NA,"1","yes","Outside","No",NA,NA,8,1,1
"76","HH1164",0,3,"2017-08-17","Yes","Yes","Yes","female","Yes",1,40,6,5,1,3,"Yes","No","No","Yes",1,2,"No","female","c","c","a","Yes",NA,NA,"1","yes","Outside","No",2,62,8,1,1
"77","HH136",0,3,"2017-08-17","Yes","Yes","No","male","Yes",2,26,4,0,2.5,7,"Yes","No","Yes","No",1,2,"No","male","a","c","b","Yes",NA,NA,"1","yes","Outside","No",4,20,8,1,1
"78","HH1421",0,1,"2017-08-17","Yes","Yes","No","couple","Yes",4,33,6,0,1,1,"Yes","No","No","No",3,1,"Yes","female","b","c","b","No","No",NA,NA,"yes","Outside","No",2,26,8,1,1
"79","HH1678",0,3,"2017-08-17","Yes","Yes","No","male","Yes",2,30,7,0,2,4.5,"Yes","No","Yes","No",1,3,"Yes","couple","a","c","b","Yes",NA,NA,"1","no","Outside","No",2,30,8,1,1
"80","HH1935",0,3,"2017-08-17","Yes","Yes","Yes","female","Yes",2,47,7,0,4,7,"Yes","No","Yes","Yes",1,3,"Yes","couple","c","c","b","Yes",NA,NA,"1","yes","Outside","No",2,55,8,1,1
"81","HH2192",0,1,"2017-08-17","Yes","Yes","No","couple","Yes",4,24,4,0,2,2.5,"Yes","Yes","Yes","No",3,1,"Yes","couple","a","c","a","Yes",NA,NA,"1","yes","Outside","No",4,25,8,1,1
"82","HH2449",0,1,"2017-08-17","Yes","Yes","No","couple","Yes",4,49,9,4,2,4.5,"Yes","No","No","No",1,2,"No","ctrl","b","c","b","Yes",NA,NA,"1","no","Outside","No",2,44,8,1,1
"83","HH393",0,1,"2017-08-17","Yes","Yes","Yes","female","Yes",2,28,7,0,3,5,"Yes","No","Yes","Yes",1,2,"Yes","male","a","c","b","Yes",NA,NA,"1","yes","Outside","No",3,63,8,1,1
"84","HH650",0,1,"2017-08-17","Yes","Yes","Yes","couple","Yes",4,65,12,10,1,0.5,"Yes","No","No","No",1,1,"No","male","a","c","b","Yes",NA,NA,"1","yes","Outside","No",1,40,8,1,1
"85","HH907",0,1,"2017-08-17","Yes","Yes","Yes","male","Yes",2,52,7,10,4,7,"Yes","No","Yes","Yes",1,1,"Yes","female","a","c","b","Yes",NA,NA,"1","no","Outside","No",3,47,8,1,1
"86","FH78",1,16,"2017-08-17","Yes","Yes","Yes",NA,"Yes",1,31,8,6,1.5,0.800000011920929,"Yes","No","No","No",1,2,"Yes","female","a","c","b","Yes",NA,NA,"1","yes","Outside","No",NA,NA,9,1,1
"87","HH3341",0,9,"2017-08-17","Yes","Yes","Yes","male","Yes",2,65,5,3,2,8,"Yes","No","No","No",3,1,"No","male","a","c","b","No","Yes","Yes","1","yes","Outside","No",2,61,9,1,1
"88","HH3368",0,5,"2017-08-17","Yes","Yes","Yes","female","Yes",1,29,7,20,0.5,0.300000011920929,"Yes","No","No","No",3,2,"No","male","b","c","b","No","No",NA,NA,"no","Outside","No",2,36,9,1,1
"89","HH3395",0,5,"2017-08-17","Yes","Yes","Yes","male","Yes",2,34,7,20,1.5,7,"Yes","Yes","No","Yes",3,2,"Yes","female","a","c","b","Yes",NA,NA,"1","no","Outside","No",2,32,9,1,1
"90","HH3422",0,7,"2017-08-17","Yes","Yes","Yes","female","Yes",2,46,12,3,0.5,1,"Yes","No","No","No",3,1,"No","female","a","b","c","Yes",NA,NA,"1","yes","Outside","No",2,999,9,1,1
"91","HH3449",0,16,"2017-08-17","Yes","Yes","No","male","Yes",4,35,9,25,1.5,7,"Yes","Yes","No","No",1,3,"Yes","couple","a","a","c","Yes",NA,NA,"1","yes","Outside","No",4,34,9,1,1
"92","HH3476",0,5,"2017-08-17","Yes","Yes","Yes","female","Yes",3,33,6,23,1.5,3.5,"No","No","No","Yes",1,1,"Yes","couple","c","a","b","Yes",NA,NA,"1","yes","Outside","No",3,35,9,1,1
"93","HH3503",0,7,"2017-08-17","Yes","Yes","No","couple","Yes",4,39,9,5,1,7,"No","Yes","No","No",2,1,"No","couple","a","c","b","Yes",NA,NA,"1","yes","Inside","No",3,33,9,1,1
"94","FH85",1,15,"2017-08-17","Yes","Yes","No",NA,"Yes",2,50,4,5,0.5,1,"Yes","No","No","No",1,2,"No","male","a","c","b","No","No",NA,NA,"no","Outside","No",NA,NA,10,1,1
"95","HH1254",0,15,"2017-08-17","Yes","Yes","No","female","Yes",2,45,8,5,1,0.400000005960464,"Yes","No","No","No",1,5,"No","female","b","c","b","No","No",NA,NA,"no","Outside","No",2,999,10,1,1
"96","HH1511",0,12,"2017-08-17","Yes","Yes","Yes","couple","Yes",1,60,2,8,3,2,"Yes","No","No","No",3,1,"No","female","a","c","b","Yes",NA,NA,"1","yes","Outside","No",1,52,10,1,1
"97","HH1768",0,15,"2017-08-17","Yes","Yes","Yes","male","Yes",2,62,7,10,1,2,"Yes","No","No","No",1,2,"Yes","couple","a","c","b","No","No",NA,NA,"no","Outside","No",1,64,10,1,1
"98","HH2025",0,15,"2017-08-17","Yes","Yes","Yes","female","Yes",2,31,8,5,0.5,1,"Yes","No","No","No",3,1,"No","couple","b","c","b","No","No",NA,NA,"yes","Outside","No",2,33,10,1,1
"99","HH226",0,12,"2017-08-17","Yes","Yes","Yes","male","Yes",2,72,8,25,2,4,"Yes","No","No","No",1,3,"No","male","a","c","b","Yes",NA,NA,"1","yes","Outside","No",1,60,10,1,1
"100","HH2282",0,15,"2017-08-17","Yes","Yes","Yes","couple","Yes",2,30,7,5,1,2,"Yes","No","No","No",3,2,"No","couple","b","c","b","No","No",NA,NA,"no","Outside","No",2,25,10,1,1
"101","HH2539",0,15,"2017-08-17","Yes","Yes","Yes","couple","Yes",2,37,9,5,3.5,3,"Yes","No","No","No",1,3,"No","ctrl","b","c","b","Yes",NA,NA,"1","no","Outside","No",2,32,10,1,1
"102","HH483",0,12,"2017-08-17","Yes","Yes","Yes","female","Yes",2,27,6,15,3,10,"Yes","No","No","Yes",1,2,"Yes","male","b","c","b","Yes",NA,NA,"1","yes","Outside","No",2,34,10,1,1
"103","HH740",0,12,"2017-08-17","Yes","Yes","Yes","couple","Yes",6,34,8,25,0.5,3,"Yes","No","No","No",4,1,"No","male","a","c","b","Yes",NA,NA,"1","yes","Outside","No",4,25,10,1,1
"104","HH997",0,12,"2017-08-17","Yes","Yes","No","male","Yes",3,50,2,5,1,2.5,"Yes","No","No","No",1,2,"No","female","a","c","b","Yes",NA,NA,"1","yes","Outside","No",1,40,10,1,1
"105","FH95",1,13,"2017-08-17","Yes","Yes","Yes",NA,"Yes",2,44,6,1,1,4,"Yes","No","No","Yes",1,2,"No","male","c","c","b","No","No",NA,NA,"yes","Outside","No",NA,NA,11,1,1
"106","HH1009",0,2,"2017-08-17","Yes","Yes","Yes","male","Yes",1,50,9,3,1,7,"Yes","No","No","No",3,4,"Yes","female","a","c","a","Yes",NA,NA,"1","yes","Outside","No",3,30,11,1,1
"107","HH1266",0,2,"2017-08-17","Yes","Yes","Yes","female","Yes",1,57,5,2,1,1,"Yes","No","No","No",3,2,"No","female","a","c","a","No","No",NA,NA,"yes","Outside","No",1,65,11,1,1
"108","HH1523",0,2,"2017-08-17","Yes","Yes","Yes","couple","Yes",1,43,10,3,2,2,"Yes","No","No","No",3,2,"No","female","a","c","a","No","Yes","Yes","1","no","Outside","No",1,34,11,1,1
"109","HH1780",0,2,"2017-08-17","Yes","Yes","No","male","Yes",1,30,15,2,1,1,"Yes","No","No","No",3,5,"Yes","couple","a","c","a","Yes",NA,NA,"1","yes","Outside","No",2,29,11,1,1
"110","HH2037",0,2,"2017-08-17","Yes","Yes","No","female","Yes",2,28,7,2,1,4,"Yes","No","No","No",1,2,"Yes","couple","b","c","a","Yes",NA,NA,"1","no","Outside","No",4,40,11,1,1
"111","HH2294",0,2,"2017-08-17","Yes","Yes","No","couple","Yes",1,50,2,2,1,1,"Yes","No","No","No",1,3,"Yes","couple","a","c","a","Yes",NA,NA,"1","yes","Outside","No",2,60,11,1,1
"112","HH238",0,2,"2017-08-17","Yes","Yes","Yes","male","Yes",3,30,15,2,1,1,"Yes","No","No","No",1,4,"No","male","a","c","b","Yes",NA,NA,"1","yes","Outside","No",2,30,11,1,1
"113","HH2551",0,2,"2017-08-17","Yes","Yes","Yes","female","Yes",1,65,12,2,1,3,"Yes","No","No","No",1,4,"No","ctrl","c","c","a","No","Yes","Yes","1","no","Outside","No",1,70,11,1,1
"114","HH495",0,2,"2017-08-17","Yes","Yes","Yes","female","Yes",1,43,9,2,3,3,"Yes","No","No","No",3,2,"No","male","a","c","a","Yes",NA,NA,"1","yes","Outside","Yes",2,50,11,1,1
"115","HH752",0,2,"2017-08-17","Yes","Yes","Yes","couple","Yes",2,27,8,2,1,1.5,"Yes","No","No","No",1,4,"Yes","male","a","c","a","Yes",NA,NA,"1","yes","Outside","No",4,38,11,1,1
"116","FH105",1,16,"2017-08-17","Yes","Yes","Yes",NA,"Yes",4,45,4,2,1,8.5,"No","No","No","Yes",1,3,"Yes","female","a","b","a","Yes",NA,NA,"1","no","Outside","No",NA,NA,12,1,1
"117","HH1216",0,4,"2017-08-17","Yes","Yes","Yes","female","Yes",1,40,5,3,2,3,"Yes","No","No","No",3,2,"No","female","d","b","a","No","No",NA,NA,"no","Outside","Yes",1,60,12,1,1
"118","HH1473",0,5,"2017-08-17","Yes","Yes","Yes","couple","Yes",3,49,10,2,1,5,"No","98","Yes","Yes",1,6,"Yes","female","a","c","b","Yes",NA,NA,"1","yes","Outside","No",1,45,12,1,1
"119","HH1730",0,7,"2017-08-17","Yes","Yes","Yes","male","Yes",3,26,4,2,1,3,"Yes","No","No","Yes",3,1,"No","couple","a","c","b","No","No",NA,NA,"yes","Outside","No",2,21,12,1,1
"120","HH188",0,5,"2017-08-17","Yes","Yes","Yes","male","Yes",3,42,11,2,2,5.5,"Yes","No","No","No",1,3,"Yes","male","b","c","b","Yes",NA,NA,"1","no","Outside","No",2,38,12,1,1
"121","HH1987",0,7,"2017-08-17","Yes","Yes","Yes","female","Yes",5,24,3,1,2,6,"Yes","No","No","No",3,1,"Yes","couple","a","c","c","Yes",NA,NA,"1","no","Outside","No",3,20,12,1,1
"122","HH2244",0,7,"2017-08-17","Yes","Yes","Yes","couple","Yes",4,40,6,2,1,3,"No","No","No","No",1,2,"No","couple","a","c","b","Yes",NA,NA,"1","yes","Outside","No",2,29,12,1,1
